N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,12,16,7700K,30.319888458,239504.701233,176246,772196330557,770028423100,68242097289,3558070516
2000,20000.0,1.0,1000,12,4,7700K,41.206648363,284593.062648,181512,925138139196,927112933843,70782596098,1881787808
2000,20000.0,1.0,1000,10,32,7700K,28.547067391,225661.861927,140199,725031496002,743379661829,67770854478,3315459861
2000,20000.0,1.0,1000,64,2,7700K,81.333617529,318748.986211,1083119,1041341107884,1049401033734,73871611536,63337920
2000,20000.0,1.0,1000,21,4,7700K,73.010872565,286825.770302,361562,922799958399,928337820921,71028572482,1889410663
2000,20000.0,1.0,1000,21,64,7700K,56.148857554,219453.032296,352152,704969387434,731348035744,67834229265,3131772128
2000,20000.0,1.0,1000,21,8,7700K,65.734754391,258231.194171,357389,836042399436,825176791202,69359135127,3474351985
2000,20000.0,1.0,1000,2,8,7700K,78.376431112,156716.682603,122,603620192649,822707474385,68865766014,3478090101
2000,20000.0,1.0,1000,28,32,7700K,58.955842499,230720.529994,474213,731624375874,745585979919,68215316387,3322935128
2000,20000.0,1.0,1000,2,4,7700K,90.38816645,180736.530128,130,702611912526,925865243946,70534163028,2019788029
2000,20000.0,1.0,1000,7,8,7700K,34.812513034,243470.743009,1120,796188770240,822940060121,68925063702,3460007581
2000,20000.0,1.0,1000,40,2,7700K,80.456158779,314912.961083,690588,1027490448971,1046783778992,73345818286,47779114
2000,20000.0,1.0,1000,12,1,7700K,43.979687576,312301.784899,181390,1019034002472,1043393184920,72664179155,30385912
2000,20000.0,1.0,1000,12,32,7700K,29.441506762,232376.252376,174918,728859815292,743584858676,67812489855,3310020001
2000,20000.0,1.0,1000,28,1,7700K,83.114315663,328102.731385,489327,1023608301351,1045442392413,73076024308,42930060
2000,20000.0,1.0,1000,1,2,7700K,197.155540323,197152.379821,249,824790511174,1042133143017,72407606644,24240478
2000,20000.0,1.0,1000,64,4,7700K,74.343142884,288816.262608,1075233,945235791544,933092713569,71984221703,1911886887
2000,20000.0,1.0,1000,8,32,7700K,28.351435064,226541.662852,424,728559155768,742619769910,67638764920,3305244457
