N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,20,4,7700K,35.596785816,281207.083244,326857,926016560194,928031215082,70967750098,1880264442
2000,20000.0,1.0,1000,20,64,7700K,27.963489731,220371.003762,321840,710269300932,731059057373,67776963554,3126553854
2000,20000.0,1.0,1000,20,8,7700K,32.564790422,257054.603754,325180,841020967914,824877359501,69299854853,3468650354
2000,20000.0,1.0,1000,21,1,7700K,39.222392514,309957.527469,346660,1020437797813,1044419044693,72871172326,35085702
2000,20000.0,1.0,1000,21,16,7700K,29.726365624,234498.475823,340938,774780947120,771031520559,68445209378,3559174553
2000,20000.0,1.0,1000,21,2,7700K,39.734460921,314061.745281,347762,1021541324115,1044428560185,72872987586,35160681
2000,20000.0,1.0,1000,21,32,7700K,28.801671971,227058.87399,339766,733449255050,744593156735,68016501464,3317378166
2000,20000.0,1.0,1000,21,4,7700K,36.101783787,285087.099367,345444,928507507256,928147656461,70991213653,1879954499
2000,20000.0,1.0,1000,21,64,7700K,27.816689793,219238.501805,339774,707789144369,731167330621,67798939445,3127172459
2000,20000.0,1.0,1000,21,8,7700K,32.960387186,260116.304716,343560,838270008936,824995116332,69323581606,3470654521
2000,20000.0,1.0,1000,24,1,7700K,39.497046369,312092.886783,402708,1021882153529,1044768190105,72941484689,36848517
2000,20000.0,1.0,1000,24,16,7700K,30.506211641,240446.574695,395527,773700473549,771388583735,68516940167,3564630644
2000,20000.0,1.0,1000,24,2,7700K,39.305369478,310605.061844,401895,1020919847159,1044761874625,72940201835,36550569
2000,20000.0,1.0,1000,24,32,7700K,28.845052069,227295.590475,394737,739822454122,744938393302,68086256725,3319199583
2000,20000.0,1.0,1000,24,4,7700K,36.038462081,284544.503845,399401,929799627814,928485668282,71059348671,1881027179
2000,20000.0,1.0,1000,24,64,7700K,27.869665022,219503.140225,393152,709665252161,731504639118,67866992445,3125565695
2000,20000.0,1.0,1000,24,8,7700K,32.699322539,257990.530189,396041,839789928765,825314545345,69388294940,3469892922
2000,20000.0,1.0,1000,28,1,7700K,39.739311485,313794.199869,472836,1023700613500,1045218431923,73031999697,38532262
2000,20000.0,1.0,1000,28,16,7700K,30.403796232,239438.59994,465381,775666560542,771821880199,68604550216,3566551124
2000,20000.0,1.0,1000,28,2,7700K,39.821550018,314514.522618,471978,1024560789636,1045207496582,73030019851,38438853
2000,20000.0,1.0,1000,28,32,7700K,27.967923663,220191.807839,462927,734977329097,745364360984,68172249504,3321379711
2000,20000.0,1.0,1000,28,4,7700K,35.837020243,282777.747759,469276,931013287904,928921879320,71147377735,1883648443
2000,20000.0,1.0,1000,28,64,7700K,27.303724967,214867.639425,462631,713721773035,731941894949,67955300819,3130202810
2000,20000.0,1.0,1000,28,8,7700K,32.798444438,258572.591433,466372,841155887373,825756979181,69477543605,3471445080
2000,20000.0,1.0,1000,32,1,7700K,40.398419739,318813.545775,541354,1035427660927,1045677095155,73124058717,40338543
2000,20000.0,1.0,1000,32,16,7700K,30.477539758,239854.755358,534226,776734241168,772270856186,68694801587,3563977758
2000,20000.0,1.0,1000,32,2,7700K,39.84721469,314568.387462,540444,1024461341280,1045649553298,73118874600,40256148
2000,20000.0,1.0,1000,32,32,7700K,29.09678097,228849.440281,533042,738849476911,745822469286,68264390117,3322921870
2000,20000.0,1.0,1000,32,64,7700K,28.470592345,223852.890387,532417,713074180376,732395674332,68046550310,3134873121
2000,20000.0,1.0,1000,32,8,7700K,33.03876416,260206.667689,535710,846469858782,826204690703,69567612560,3473281942
2000,20000.0,1.0,1000,4,1,7700K,55.848804915,223290.70032,92,829640043948,1042193791305,72431359284,24127520
2000,20000.0,1.0,1000,4,16,7700K,40.089259112,160251.492951,107,542491527425,768836498786,68011238442,3493564629
2000,20000.0,1.0,1000,4,2,7700K,58.536338496,234040.411784,150,829577270912,1042205259992,72433388099,24214051
2000,20000.0,1.0,1000,4,32,7700K,37.752689892,150900.812172,963,506531521388,742411432363,67585342511,3254603041
2000,20000.0,1.0,1000,4,4,7700K,50.533746017,202029.343726,84,703874976738,925927397834,70552347259,2013720804
2000,20000.0,1.0,1000,4,64,7700K,36.651180248,146497.258833,907,488373410694,728983013776,67367165411,3082102616
2000,20000.0,1.0,1000,4,8,7700K,44.291274697,177060.670677,122,605292150095,822771249494,68884195380,3478527198
2000,20000.0,1.0,1000,40,1,7700K,39.914097815,314514.11185,676424,1029305664000,1046543080381,73298539251,44508481
2000,20000.0,1.0,1000,40,16,7700K,30.564606711,240140.525637,667723,780320527642,773133634635,68868598095,3572217370
2000,20000.0,1.0,1000,40,2,7700K,40.295731291,317609.127444,675584,1028324195292,1046524623205,73295027596,43810039
2000,20000.0,1.0,1000,40,32,7700K,29.690952474,233072.440474,667054,742095286640,746693995402,68439677778,3329177817
2000,20000.0,1.0,1000,40,4,7700K,36.671995795,288787.051605,671842,932417089037,930244745921,71413151628,1889386575
2000,20000.0,1.0,1000,40,64,7700K,28.598826556,224382.329129,665661,716443832216,733261185562,68220702114,3133215358
2000,20000.0,1.0,1000,40,8,7700K,33.517250433,263669.235843,669162,846685839751,827081339415,69743659319,3479053811
2000,20000.0,1.0,1000,6,1,7700K,47.017235648,281925.536172,329,945874769226,1042310328435,72458742551,22987395
2000,20000.0,1.0,1000,6,16,7700K,33.882164658,203113.593862,790,675398483159,768941624357,68036740540,3523928954
2000,20000.0,1.0,1000,6,2,7700K,46.347295546,277905.624769,786,947783256113,1042309181730,72458632218,22967637
2000,20000.0,1.0,1000,6,32,7700K,32.1038032,192440.652001,128,636286370354,742502934414,67608081849,3289754343
2000,20000.0,1.0,1000,6,4,7700K,40.477454226,242689.411071,137,836682816493,926024934339,70576105686,1925051663
2000,20000.0,1.0,1000,6,64,7700K,31.308327102,187673.164227,263,615333818499,729077199971,67390297985,3102266798
2000,20000.0,1.0,1000,6,8,7700K,37.844794568,226893.89179,128,743055761867,822883712724,68910767955,3463484087
2000,20000.0,1.0,1000,64,1,7700K,40.720437566,319089.115506,1074862,1037725013116,1049127995447,73818615892,56358880
2000,20000.0,1.0,1000,64,16,7700K,31.48062573,244786.985824,1058452,793338028301,775709206614,69386240724,3582570209
2000,20000.0,1.0,1000,64,2,7700K,40.423373447,316813.526603,1074981,1040497713831,1049132895925,73819575496,56113628
2000,20000.0,1.0,1000,64,32,7700K,29.810082858,231381.457906,1058328,749069626554,749276907794,68958841943,3339569401
2000,20000.0,1.0,1000,64,4,7700K,36.850210384,287993.273982,1067819,942416582387,932830263334,71933271863,1901543126
2000,20000.0,1.0,1000,64,64,7700K,29.173364561,225962.150829,1058490,725301306260,735843639859,68740019238,3143952461
2000,20000.0,1.0,1000,64,8,7700K,33.760454473,263121.811632,1062310,856487709924,829661316220,70262689135,3491720971
2000,20000.0,1.0,1000,7,1,7700K,42.4333232,296821.07142,834,987672721887,1042358985764,72470725429,22766776
2000,20000.0,1.0,1000,7,16,7700K,31.446275202,219908.01131,924,732034413179,768992556472,68049507346,3528457848
2000,20000.0,1.0,1000,7,2,7700K,41.956448034,293482.196397,172,986458817658,1042351999063,72469528653,22576902
2000,20000.0,1.0,1000,7,32,7700K,30.428309005,212789.64565,115,687392709090,742550362395,67619654431,3296901113
2000,20000.0,1.0,1000,7,4,7700K,38.681250061,270555.031531,145,883446702440,926081695268,70589776833,1897521070
2000,20000.0,1.0,1000,7,64,7700K,29.640512164,207271.840876,121,664156681560,729130419366,67402856091,3109700870
2000,20000.0,1.0,1000,7,8,7700K,34.695931582,242660.541606,149,793639689661,822927652135,68921883752,3459020723
2000,20000.0,1.0,1000,8,1,7700K,39.084477769,312392.197955,3131,1018715142276,1042444847779,72492530868,22542873
2000,20000.0,1.0,1000,8,16,7700K,30.007804627,239814.782995,400,766806289072,769051842773,68065394670,3550497422
2000,20000.0,1.0,1000,8,2,7700K,39.364582675,314648.601533,448,1014753608813,1042430062983,72490318543,22094604
2000,20000.0,1.0,1000,8,4,7700K,35.722220388,285523.753754,534,918651266809,926147608981,70607479183,1869462779
2000,20000.0,1.0,1000,8,8,7700K,32.481521895,259523.362329,3061,835041793927,823022941566,68946305888,3456185234
2000,20000.0,1.0,1000,9,2,7700K,39.103861028,310475.897186,127432,1013380990438,1043088993303,72602537605,29008706
2000,20000.0,1.0,1000,9,8,7700K,32.587420349,258299.009091,128324,832235096733,823669818017,69055995861,3464035879
2000,20000.0,1.0,1000,8,32,7700K,28.155062033,224985.487482,508,727124069101,742618338438,67638483896,3302157650
2000,20000.0,1.0,1000,8,64,7700K,27.490733986,219673.199583,302,708321994928,729195363659,67421563713,3112034105
2000,20000.0,1.0,1000,9,1,7700K,39.248213745,311623.381141,127654,1014292196963,1043090255425,72602810918,28850766
2000,20000.0,1.0,1000,9,16,7700K,30.251310626,239652.435734,126880,765478350798,769720349310,68180326961,3555916232
2000,20000.0,1.0,1000,9,32,7700K,28.685116135,227080.909618,127658,729054068872,743286153519,67752728593,3313236514
2000,20000.0,1.0,1000,9,4,7700K,35.868585354,284568.961383,127089,916764263357,926815094207,70722101749,1875016573
2000,20000.0,1.0,1000,9,64,7700K,27.508149558,217736.181715,127355,701197897510,729854867262,67534042947,3119181868
2000,20000.0,1.0,1000,2,2,XeS4114,140.820627346,281567.898922,223,805298685166,1042181640134,72424010929,24381604
2000,20000.0,1.0,1000,32,4,XeS4114,21.923098367,418822.784325,479905,917952076655,929070723934,71197791948,1903262220
2000,20000.0,1.0,1000,1,1,XeS4114,278.5551821,278546.543179,211,801413751919,1042179520869,72416880586,24452040
2000,20000.0,1.0,1000,1,16,XeS4114,184.098357173,184097.189519,48,530334572278,768793642406,67991532589,3491672419
2000,20000.0,1.0,1000,1,2,XeS4114,278.733979339,278725.363556,211,801441473164,1042179301331,72416823502,24228634
2000,20000.0,1.0,1000,1,32,XeS4114,173.29332167,173291.720446,45,497749319665,742356751721,67563215438,3278056937
2000,20000.0,1.0,1000,1,4,XeS4114,237.586946105,237578.757365,181,683624718145,925894792089,70534440030,1953006211
2000,20000.0,1.0,1000,1,64,XeS4114,165.977520812,165976.398385,44,478308921194,728931724065,67345836020,3115015880
2000,20000.0,1.0,1000,1,8,XeS4114,205.350789266,205348.207311,54,592028173979,822731632059,68865123685,3442214147
2000,20000.0,1.0,1000,10,1,XeS4114,37.520444708,374566.457508,131,821975295001,1042530785338,72519741953,24471886
2000,20000.0,1.0,1000,10,16,XeS4114,24.700742949,246403.022236,87,540711243380,769121143177,68088766234,3507969083
2000,20000.0,1.0,1000,10,2,XeS4114,37.649662876,375782.150385,246,824628635484,1042530631400,72519617796,24574521
2000,20000.0,1.0,1000,10,32,XeS4114,23.179552389,231170.523745,101,507248809079,742682510461,67660109847,3301958008
2000,20000.0,1.0,1000,10,4,XeS4114,31.693265214,316324.921841,116,694167028185,926234227642,70633908935,1961000210
2000,20000.0,1.0,1000,10,64,XeS4114,22.375578793,223146.251156,144,489648315079,729256761882,67442406173,3139224002
2000,20000.0,1.0,1000,10,8,XeS4114,27.485512702,274231.389217,143,601773583991,823064465838,68963591312,3449881149
2000,20000.0,1.0,1000,12,2,XeS4114,33.228440601,397998.917902,307,873403634403,1042630461469,72545970810,23877012
2000,20000.0,1.0,1000,12,4,XeS4114,28.944779987,346562.018757,299,760495603739,926349395485,70664841192,1949872240
2000,20000.0,1.0,1000,12,8,XeS4114,25.49303266,305174.996157,307,669670883362,823170526826,68990967996,3457903380
2000,20000.0,1.0,1000,16,2,XeS4114,27.330143477,436194.172118,690,957343591154,1042908944805,72621566636,23205894
2000,20000.0,1.0,1000,16,8,XeS4114,21.847697265,348655.995606,366,765064004241,823367790261,69042800177,3458754635
2000,20000.0,1.0,1000,19,2,XeS4114,24.125073304,457316.319961,644,1003540276932,1042977771612,72638372277,22702281
2000,20000.0,1.0,1000,19,4,XeS4114,21.875867036,414556.83345,532,909669747947,926705112300,70759238933,1888886443
2000,20000.0,1.0,1000,19,8,XeS4114,19.857825343,376231.830244,483,825594445779,823506676877,69079488524,3456808772
2000,20000.0,1.0,1000,12,1,XeS4114,33.12332594,396706.468058,343,870556176019,1042632921726,72545870322,24038397
2000,20000.0,1.0,1000,12,16,XeS4114,23.061842914,275933.446768,713,605565004133,769265477721,68126420090,3520079842
2000,20000.0,1.0,1000,12,32,XeS4114,21.672486503,259291.571393,266,568974851482,742799491654,67690962388,3303180935
2000,20000.0,1.0,1000,12,64,XeS4114,21.117301616,252685.766394,191,554494773725,729380568889,67475148803,3138125889
2000,20000.0,1.0,1000,16,1,XeS4114,27.272386236,435370.909236,516,955446435149,1042868298243,72610619682,23274161
2000,20000.0,1.0,1000,16,16,XeS4114,19.997378618,318998.554139,571,699993124478,769475137961,68182817770,3533804710
2000,20000.0,1.0,1000,16,32,XeS4114,18.88075606,301064.258753,339,660675322271,743039373142,67755294544,3306967356
2000,20000.0,1.0,1000,16,4,XeS4114,24.406751254,389398.794907,415,854516721608,926589515862,70729026308,1908712490
2000,20000.0,1.0,1000,16,64,XeS4114,18.329897799,292120.326956,303,641349167916,729735109510,67572585001,3116210859
2000,20000.0,1.0,1000,19,1,XeS4114,24.123941738,457148.326943,541,1003304636694,1043055463139,72661042473,22441070
2000,20000.0,1.0,1000,19,16,XeS4114,18.356043154,347704.690114,494,762989181271,769637985318,68226272604,3548592795
2000,20000.0,1.0,1000,19,32,XeS4114,17.337409338,328305.163459,397,720342675140,743184428744,67793701270,3300981150
2000,20000.0,1.0,1000,19,64,XeS4114,16.786818898,317879.302513,998,697556734050,729736115816,67568657690,3121203965
2000,20000.0,1.0,1000,2,1,XeS4114,140.909582661,281739.318339,147,807845375099,1042178290689,72423318771,24436189
2000,20000.0,1.0,1000,2,16,XeS4114,93.7248947,187371.960149,65,535382722616,768800254170,67999194969,3501181259
2000,20000.0,1.0,1000,2,32,XeS4114,87.882566967,175684.829661,92,501349908550,742363112796,67570853036,3280397459
2000,20000.0,1.0,1000,2,4,XeS4114,119.929020497,239779.558476,82,686763520008,925895597179,70541099783,1932595491
2000,20000.0,1.0,1000,2,64,XeS4114,84.331673055,168585.418535,46,483631978308,728936716096,67353068997,3126031789
2000,20000.0,1.0,1000,2,8,XeS4114,104.401412462,208729.648335,58,595463644616,822735790083,68872252419,3443515339
2000,20000.0,1.0,1000,20,1,XeS4114,23.264339677,464038.924139,2003,1018395403101,1043145002308,72684159464,22676266
2000,20000.0,1.0,1000,20,16,XeS4114,17.809952038,354960.124625,445,779199546529,769833449916,68281567300,3548996606
2000,20000.0,1.0,1000,20,2,XeS4114,23.259659738,463982.647388,690,1018348241946,1043179240829,72695810651,22576674
