"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,64,1,"7700K",40.720437566,319089.115506,1074862,1037725013116,1049127995447,73818615892,56358880,35.100505005,192.820017132,4.73521476333538
2000,20000,1,1000,7,1,"7700K",42.4333232,296821.07142,834,987672721887,1042358985764,72470725429,22766776,37.118043415,192.820017132,4.54407061693438
2000,20000,1,1000,8,1,"7700K",39.084477769,312392.197955,3131,1018715142276,1042444847779,72492530868,22542873,33.511003613,192.820017132,4.93341674594245
2000,20000,1,1000,9,1,"7700K",39.248213745,311623.381141,127654,1014292196963,1043090255425,72602810918,28850766,33.704767896,192.820017132,4.91283548303046
2000,20000,1,1000,1,1,"XeS4114",278.5551821,278546.543179,211,801413751919,1042179520869,72416880586,24452040,278.367902579,278.44652389,0.999609922137578
2000,20000,1,1000,10,1,"XeS4114",37.520444708,374566.457508,131,821975295001,1042530785338,72519741953,24471886,37.12181928,278.44652389,7.42119465952466
2000,20000,1,1000,12,1,"XeS4114",33.12332594,396706.468058,343,870556176019,1042632921726,72545870322,24038397,31.976795242,278.44652389,8.40635763432638
2000,20000,1,1000,16,1,"XeS4114",27.272386236,435370.909236,516,955446435149,1042868298243,72610619682,23274161,25.154869456,278.44652389,10.209833546668
2000,20000,1,1000,19,1,"XeS4114",24.123941738,457148.326943,541,1003304636694,1043055463139,72661042473,22441070,21.745337283,278.44652389,11.5423311378418
2000,20000,1,1000,2,1,"XeS4114",140.909582661,281739.318339,147,807845375099,1042178290689,72423318771,24436189,141.064834606,278.44652389,1.97606520885018
2000,20000,1,1000,20,1,"XeS4114",23.264339677,464038.924139,2003,1018395403101,1043145002308,72684159464,22676266,20.932321514,278.44652389,11.9688126873974
2000,20000,1,1000,21,1,"XeS4114",23.516370142,457138.365977,287980,1002379212791,1044138807392,72825962960,35878819,21.116180058,278.44652389,11.8405401092364
2000,20000,1,1000,24,1,"XeS4114",23.64800331,457586.922944,341245,1003213185668,1044496332913,72900563186,38515809,21.259515911,278.44652389,11.7746314663384
2000,20000,1,1000,28,1,"XeS4114",23.832795745,458491.359893,405990,1005192093741,1044909355324,72987832627,41396738,21.412151822,278.44652389,11.6833344635371
2000,20000,1,1000,32,1,"XeS4114",23.972197003,459407.862753,479571,1006974733971,1045351703555,73079525537,44450639,21.543190771,278.44652389,11.6153944444539
2000,20000,1,1000,4,1,"XeS4114",75.71363861,302629.444608,84,807591559086,1042247704969,72444395925,24155892,76.432358063,278.44652389,3.67762702997639
2000,20000,1,1000,40,1,"XeS4114",24.155392242,460936.378497,615388,1010137921623,1046217058115,73260103704,49534184,21.783111676,278.44652389,11.5273029351125
2000,20000,1,1000,6,1,"XeS4114",59.19761753,354813.258898,355,813511355275,1042360764848,72472943884,24460940,58.996182335,278.44652389,4.70367787603766
2000,20000,1,1000,64,1,"XeS4114",24.708405154,465804.900264,1028115,1020128114521,1048760300212,73793500691,65234261,22.344047346,278.44652389,11.2693037917473
2000,20000,1,1000,7,1,"XeS4114",50.690498501,354402.934706,111,812691961621,1042400742785,72484078040,24510055,50.594846531,278.44652389,5.49307132745019
2000,20000,1,1000,8,1,"XeS4114",45.304061731,361932.053244,173,828360734882,1042444582818,72496415563,24608197,44.336820682,278.44652389,6.14617129791408
2000,20000,1,1000,9,1,"XeS4114",41.298790938,371097.816451,206,814360008280,1042485302439,72507234905,24655957,41.043333001,278.44652389,6.74224396321963
