"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,1,1,"7700K",196.751902895,196741.528119,1433,823708970420,1042140845323,72409269189,24319153,194.582323645,192.820017132,0.980016021674269
2000,20000,1,1000,10,1,"7700K",39.507073532,313413.043125,140817,1017860355525,1043189849158,72622014403,29396546,33.979461953,192.820017132,4.88064541089887
2000,20000,1,1000,12,1,"7700K",39.417190817,312156.6142,175133,1015782890529,1043384724672,72661912335,30493142,34.772676422,192.820017132,4.89177470883693
2000,20000,1,1000,16,1,"7700K",39.541763673,312895.408706,254922,1018123060973,1043867835918,72759616074,32961004,33.941017515,192.820017132,4.87636360195187
2000,20000,1,1000,19,1,"7700K",39.749565551,314189.565037,311918,1020645125317,1044216830985,72829991947,34499578,34.13834959,192.820017132,4.85087105881964
2000,20000,1,1000,2,1,"7700K",101.079548131,202117.753957,1200,826711313094,1042140130602,72414911090,24498757,99.836064554,192.820017132,1.90760663949648
2000,20000,1,1000,20,1,"7700K",39.873950701,315166.661608,330542,1020226497972,1044331578075,72853132706,35309522,34.85686451,192.820017132,4.83573896597019
2000,20000,1,1000,21,1,"7700K",39.222392514,309957.527469,346660,1020437797813,1044419044693,72871172326,35085702,34.167566589,192.820017132,4.9160697441691
2000,20000,1,1000,24,1,"7700K",39.497046369,312092.886783,402708,1021882153529,1044768190105,72941484689,36848517,34.959673767,192.820017132,4.88188446626071
2000,20000,1,1000,28,1,"7700K",39.739311485,313794.199869,472836,1023700613500,1045218431923,73031999697,38532262,34.430326712,192.820017132,4.85212274512561
2000,20000,1,1000,32,1,"7700K",40.398419739,318813.545775,541354,1035427660927,1045677095155,73124058717,40338543,35.16527768,192.820017132,4.7729593973661
2000,20000,1,1000,4,1,"7700K",55.848804915,223290.70032,92,829640043948,1042193791305,72431359284,24127520,51.959363332,192.820017132,3.45253613618887
2000,20000,1,1000,40,1,"7700K",39.914097815,314514.11185,676424,1029305664000,1046543080381,73298539251,44508481,34.663909361,192.820017132,4.83087499624097
2000,20000,1,1000,6,1,"7700K",47.017235648,281925.536172,329,945874769226,1042310328435,72458742551,22987395,42.362891067,192.820017132,4.10104963583077
