N,L,r,steps,threads,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
250,20000.0,1.0,1000,6,7700K,0.215029362,1268.968576,250,4128324317,3458997881,273027926,857067
250,20000.0,1.0,1000,1,7700K,0.802429712,802.199773,3,3269034385,3444917738,269002314,780225
250,20000.0,1.0,1000,64,7700K,0.692792417,2642.280699,258090,9774110168,5159668002,616359848,8284387
500,20000.0,1.0,1000,40,7700K,0.980163263,5206.035584,159832,18240845424,14634488234,1252820788,6864547
250,20000.0,1.0,1000,12,7700K,0.23637772,1339.916071,37701,4731509392,3707249182,322461691,2423556
500,20000.0,1.0,1000,24,7700K,0.79294826,4744.112309,93635,16758413963,14203509107,1165791973,5055840
500,20000.0,1.0,1000,2,7700K,1.842337793,3637.801111,1026,13184374688,13594133541,1042742378,1864140
500,20000.0,1.0,1000,21,7700K,0.787637382,4851.31197,80547,16367299523,14118648307,1148700069,4621492
1000,20000.0,1.0,1000,10,7700K,2.62574041,17432.332725,36284,57755075438,54234805341,4147092187,6005879
250,20000.0,1.0,1000,4,7700K,0.276879159,1087.836523,313,3752208126,3450571015,270838699,859123
250,20000.0,1.0,1000,32,7700K,0.457511254,1814.92504,127187,6742721130,4267161883,436036097,4717040
250,20000.0,1.0,1000,16,7700K,0.262777995,1457.796641,57986,5187398068,3836647538,348611422,2992621
2000,20000.0,1.0,1000,4,7700K,15.643186794,61687.796361,17539,217707067397,215341288365,16279630656,10716142
500,20000.0,1.0,1000,6,7700K,0.75542526,4473.900647,859,15038855800,13607419544,1046842309,1684372
250,20000.0,1.0,1000,2,XeS4114,0.759037575,1514.475497,2,3444241301,3445128373,269405161,777870
1000,20000.0,1.0,1000,19,XeS4114,1.677129159,31402.185662,172,68947209186,54274270705,4178297049,3896162
2000,20000.0,1.0,1000,64,XeS4114,6.038208942,105667.284572,259667,231159720444,216869788712,16597278594,19488016
1000,20000.0,1.0,1000,4,XeS4114,5.942254926,23698.726395,27,54310138643,54005124356,4102359640,4171401
500,20000.0,1.0,1000,32,XeS4114,0.588518985,8260.357659,111593,17649658415,14317163050,1193934419,6396697
250,20000.0,1.0,1000,24,XeS4114,0.281489897,2980.288678,80087,6183073430,3973485061,379850666,4309923
1000,20000.0,1.0,1000,16,XeS4114,1.818068264,28698.510627,151,62789268445,54126703164,4136555640,3871471
2000,20000.0,1.0,1000,2,XeS4114,38.222061496,76371.53848,99,202001824690,215243987874,16256406224,10397584
500,20000.0,1.0,1000,1,XeS4114,5.068668662,5068.226067,3,12651226559,13591313014,1041329350,1689861
2000,20000.0,1.0,1000,40,XeS4114,6.114983932,104544.438293,160013,228889918224,216244923480,16466060040,15773773
2000,20000.0,1.0,1000,8,XeS4114,11.655434096,92720.010597,208,205919859196,215325180760,16281594087,10005281
250,20000.0,1.0,1000,9,XeS4114,0.264493252,2330.266852,21,5066486783,3462049771,273974121,835808
1000,20000.0,1.0,1000,2,XeS4114,10.064382111,20100.444774,11,52595141730,53995470057,4098979618,4304630
2000,20000.0,1.0,1000,28,XeS4114,6.072807535,103881.263335,107750,227539205128,215920729337,16398131561,13844961
1000,20000.0,1.0,1000,7,XeS4114,3.620348041,25157.978276,80,57551412996,54052566611,4116099071,3922025
500,20000.0,1.0,1000,19,XeS4114,0.67868139,12429.715251,160,27643858964,13919750814,1135092865,1801762
1000,20000.0,1.0,1000,32,XeS4114,1.726336186,27586.953634,116446,60007771306,54740432637,4254797918,8649515
2000,20000.0,1.0,1000,20,XeS4114,47.437904716,890751.390687,11252,2177024333570,307188340125,42457127402,13679465
1000,20000.0,1.0,1000,12,XeS4114,2.272147423,27001.823938,68,59131342994,54069934906,4120670180,3977434
500,20000.0,1.0,1000,9,XeS4114,0.889457027,7860.62352,16,17772013072,13622132280,1051135439,1725570
250,20000.0,1.0,1000,7,XeS4114,0.312050068,2161.458831,24,4841970475,3456321698,272470193,813380
500,20000.0,1.0,1000,10,XeS4114,0.830545588,8122.924002,34,18177377325,13627158422,1052522933,1709249
1000,20000.0,1.0,1000,6,XeS4114,4.116634926,24576.167761,74,56227399614,54019597063,4106611809,4138545
2000,20000.0,1.0,1000,32,XeS4114,6.02324408,104129.529617,124989,228031034463,216026349714,16420299846,14491699
250,20000.0,1.0,1000,40,XeS4114,0.395253496,3822.549423,146355,7891818671,4399777663,469068081,6773738
500,20000.0,1.0,1000,7,XeS4114,1.039083548,7209.62418,8,16408601281,13609178724,1047551238,1720364
1000,20000.0,1.0,1000,9,XeS4114,2.985719613,26639.5426,43,58681666892,54064790741,4119405718,4072702
1000,20000.0,1.0,1000,8,XeS4114,3.223814533,25565.748625,73,58328975672,54060660548,4118273276,4040064
2000,20000.0,1.0,1000,12,XeS4114,8.325788346,99109.181154,657,217430525570,215433040032,16311909609,9558827
500,20000.0,1.0,1000,28,XeS4114,0.579957118,7967.023147,95709,17068257452,14216801681,1173000114,5831267
250,20000.0,1.0,1000,8,XeS4114,0.283872299,2201.050008,14,4900932734,3461934635,274037858,822225
250,20000.0,1.0,1000,10,XeS4114,0.259009431,2526.120815,20,5479538171,3463175829,274212701,836216
2000,20000.0,1.0,1000,21,XeS4114,6.031930664,103483.977354,77481,226754304687,215733315060,16358477893,12708048
1000,20000.0,1.0,1000,40,XeS4114,1.781021548,28010.326628,152201,60866148200,54970768866,4302844056,10167171
2000,20000.0,1.0,1000,10,XeS4114,9.602291768,95391.426395,149,209233224386,215355314302,16290140480,9857634
1000,20000.0,1.0,1000,20,XeS4114,58.484736872,1108333.069685,11883,2745375841030,180609033201,40178303154,9951189
500,20000.0,1.0,1000,16,XeS4114,0.605111878,9555.185443,124,20911701591,13670997343,1064473246,1781702
2000,20000.0,1.0,1000,1,XeS4114,70.606978133,70605.709504,23,200997299968,215254999452,16254474729,10631940
1000,20000.0,1.0,1000,24,XeS4114,1.638996284,27200.953696,84224,59207119650,54538118381,4212144885,7529404
500,20000.0,1.0,1000,64,XeS4114,0.864915709,10481.23385,247787,22260207241,15187504937,1376099120,11606400
500,20000.0,1.0,1000,20,XeS4114,26.753309972,505245.897128,4671,1251377203274,71651160622,17587547848,4449791
250,20000.0,1.0,1000,19,XeS4114,0.302386646,5551.126117,109,12687617638,3740289821,352523547,942930
2000,20000.0,1.0,1000,7,XeS4114,12.814077029,89260.121546,79,204052304697,215306598480,16276556638,10164196
250,20000.0,1.0,1000,20,XeS4114,41.40281916,784816.625002,6465,1949079674161,95006533581,26362354962,4945700
1000,20000.0,1.0,1000,1,XeS4114,17.92207437,17921.305255,6,50386405033,53999542142,4097936007,4318531
500,20000.0,1.0,1000,4,XeS4114,1.567565986,6240.121544,10,14446365796,13595202775,1043642380,1678456
2000,20000.0,1.0,1000,24,XeS4114,6.027151352,103627.361441,88809,226991964980,215805705348,16373868949,13111818
2000,20000.0,1.0,1000,19,XeS4114,7.338596504,136248.336459,1180,307331190530,219087817857,17352568783,9221962
500,20000.0,1.0,1000,12,XeS4114,0.756137976,8893.210372,48,19385711216,13635511292,1054624451,1741821
500,20000.0,1.0,1000,8,XeS4114,0.94978656,7531.162937,26,17136032695,13613606135,1048736134,1743928
2000,20000.0,1.0,1000,6,XeS4114,14.870964304,88870.210068,46,203600004493,215291238555,16272080996,10119009
250,20000.0,1.0,1000,28,XeS4114,0.307765505,3234.871185,94789,6610200863,4069803910,400077473,4875686
1000,20000.0,1.0,1000,28,XeS4114,1.68182404,27356.976121,98039,59527170797,54629028036,4231414109,8020059
250,20000.0,1.0,1000,21,XeS4114,0.26789598,2849.246897,69881,5872138296,3905045735,365459315,3900540
2000,20000.0,1.0,1000,9,XeS4114,10.446223219,93431.135612,178,204950166825,215341787889,16286375941,10291559
2000,20000.0,1.0,1000,16,XeS4114,6.573254825,104133.566385,406,228405114143,215539967203,16341968397,9111835
1000,20000.0,1.0,1000,64,XeS4114,1.944684992,29230.549991,252215,63403090578,55604757493,4435558780,13896857
1000,20000.0,1.0,1000,21,XeS4114,1.63543819,27052.046884,74751,58909444345,54472164131,4198264434,7063998
250,20000.0,1.0,1000,6,XeS4114,0.327305287,1943.049995,14,4373685871,3453302419,271686510,806637
250,20000.0,1.0,1000,1,XeS4114,1.251822045,1251.261268,4,3194398577,3444935182,269023519,791674
250,20000.0,1.0,1000,64,XeS4114,0.560377139,5103.371672,246411,10527760699,5039703671,603068860,10627101
500,20000.0,1.0,1000,40,XeS4114,0.661311089,8614.697682,146471,18375323066,14542124805,1240974205,7714313
250,20000.0,1.0,1000,12,XeS4114,0.226142947,2675.590106,47,5793898826,3471596869,276526893,855905
500,20000.0,1.0,1000,24,XeS4114,0.54696992,7782.196912,81871,16665914888,14123766992,1153385352,5272705
500,20000.0,1.0,1000,2,XeS4114,2.818683604,5624.71956,6,13613755377,13590172643,1041932123,1749934
500,20000.0,1.0,1000,21,XeS4114,0.545589335,7642.762916,71914,16394215236,14057331808,1139418189,4833330
1000,20000.0,1.0,1000,10,XeS4114,2.703763108,26732.76647,43,58519115217,54050542475,4115264311,4005967
250,20000.0,1.0,1000,4,XeS4114,0.442228291,1753.310839,5,3948021926,3448856085,270519493,792143
250,20000.0,1.0,1000,32,XeS4114,0.331800786,3406.480581,111374,7061709701,4174783640,422041563,5493654
250,20000.0,1.0,1000,16,XeS4114,0.217260825,3347.364917,89,7351312070,3513335888,288072859,904622
2000,20000.0,1.0,1000,4,XeS4114,22.149151353,88378.307741,71,202689379528,215265467129,16264038281,10180097
500,20000.0,1.0,1000,6,XeS4114,1.178271827,6979.810009,12,15949253049,13611174781,1048242093,1675255
