N,L,r,steps,processes,configType,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,40,PureXeS,12.465278884,237913.318534,26995,583046815315,480135946870,81892311035,1873157857
2000,20000.0,1.0,1000,80,PureXeS,270.323066241,5373910.860638,488738,13061056612844,9282169259754,1968385331136,58448660372
24000,20000.0,1.0,1000,160,PureXeS,502.400104085,9934560.025957,8875893,23887317130502,19297190155235,3416349692584,104420662966
8000,20000.0,1.0,1000,20,PureXeS,63.877408673,1267495.47311,112332,3152673740065,4407473331063,278678549302,967247049
8000,20000.0,1.0,1000,40,PureXeS,39.435615989,774502.035609,40518,1896882412677,2406333201468,195239351153,2253517956
8000,20000.0,1.0,1000,80,PureXeS,74.399391242,1465119.062502,87174,3582755773402,3069913569549,497790115537,13244781233
12000,20000.0,1.0,1000,20,PureXeS,140.335617737,2796163.448241,121486,6939678902082,9810731278104,606426973576,1864322921
16000,20000.0,1.0,1000,20,PureXeS,260.806942946,5172898.452765,557348,12790767540638,17765902005493,1142487514742,4214983699
2000,20000.0,1.0,1000,160,PureXeS,255.571515993,5067386.442251,920081,11141953463026,7981149605736,1694855094208,56343548605
24000,20000.0,1.0,1000,20,PureXeS,660.285783908,13136200.809716,1811761,31896436060012,41905099376581,2952118472355,15456037579
3000,20000.0,1.0,1000,160,PureXeS,306.541504711,6084775.171075,794045,14534741877851,10431565723513,2210763541470,72712315861
4000,20000.0,1.0,1000,20,PureXeS,17.264385296,339679.753181,37363,844455533574,1140459774936,77051054700,357150077
6000,20000.0,1.0,1000,20,PureXeS,35.682396423,708426.735256,63559,1762978818411,2474281208656,155511887390,525662438
4000,20000.0,1.0,1000,40,PureXeS,27.026530428,527409.176511,34087,1299625934520,1189813263214,172823522504,3622198627
4000,20000.0,1.0,1000,80,PureXeS,434.782593429,8650923.992572,1259564,21209235714601,15170214357254,3193486256420,95304023627
6000,20000.0,1.0,1000,160,PureXeS,667.414331367,13271744.501132,975216,31437499135232,22626699294030,4777082196257,157060362753
1000,20000.0,1.0,1000,80,PureXeS,237.962432256,4544321.263304,38897023,10850131913476,7629353077300,1624355476159,48159062035
12000,20000.0,1.0,1000,160,PureXeS,271.261560164,5177355.986035,15649285,12419302912145,9416574346861,1832334564394,58548264206
16000,20000.0,1.0,1000,40,PureXeS,139.441556606,2769561.803831,276329,6749206618193,9036223870766,656505940583,5981584503
16000,20000.0,1.0,1000,80,PureXeS,290.0937085,5767223.679168,403963,14065793010721,12080885575779,1950042870289,51720153777
6000,20000.0,1.0,1000,40,PureXeS,43.383662069,853348.394598,85346,2096455088537,2091638252599,267024368535,5124762828
6000,20000.0,1.0,1000,80,PureXeS,559.900408012,11152464.274778,715284,27109732055403,19562510850937,4082175089090,120752045586
8000,20000.0,1.0,1000,160,PureXeS,103.914288998,2037640.066206,67839,4951932695472,3808243011535,731682457342,23195953003
12000,20000.0,1.0,1000,40,PureXeS,85.105721023,1681980.460114,112915,4097591462237,5300194352816,417707293568,4632099968
12000,20000.0,1.0,1000,80,PureXeS,114.003990946,2254138.497762,144377,5514194572434,5086494071541,734668283597,18344752305
16000,20000.0,1.0,1000,160,PureXeS,389.055658869,6938546.217032,135707602,16713727262230,12731730016792,2404544245984,75221603248
24000,20000.0,1.0,1000,40,PureXeS,310.155772039,6164488.914285,425292,15073361106512,20157318915709,1450022116374,12874091958
24000,20000.0,1.0,1000,80,PureXeS,488.446396429,9270805.57846,50681906,22758703295760,20735183283533,3024222739946,75908880199
