N,L,r,steps,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,7700K,192.820017132,192817.581259,52,807331500972,817711141440,56341971363,18172828
2000,20000.0,1.0,1000,XeS4114,278.44652389,278445.001796,72,803921873862,817762697429,56352025822,18598958
