"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,2,2,"7700K",101.089501476,202136.828866,1199,826495743769,1042140376663,72414927572,24445250,99.836064554,192.820017132,1.90741881517516
2000,20000,1,1000,1,2,"7700K",197.148078731,197144.810609,255,824763918784,1042134067474,72407748878,24367927,194.582323645,192.820017132,0.978046645816389
2000,20000,1,1000,10,2,"7700K",39.44350661,312932.207963,139869,1014161038491,1043180596349,72620347406,29725020,33.979461953,192.820017132,4.88851103018095
2000,20000,1,1000,12,2,"7700K",39.669685508,314117.06962,174436,1015553627926,1043384421533,72661689168,30544450,34.772676422,192.820017132,4.86063891515134
2000,20000,1,1000,16,2,"7700K",39.848811537,315314.183593,254586,1017224676009,1043866486507,72759278144,32978663,33.941017515,192.820017132,4.83878965757774
2000,20000,1,1000,19,2,"7700K",39.894922255,315408.138077,310454,1018354397609,1044202949287,72827303903,34171686,34.13834959,192.820017132,4.83319696425362
2000,20000,1,1000,20,2,"7700K",39.852979293,315042.604846,328562,1018920780581,1044315527801,72849988075,34643417,34.85686451,192.820017132,4.83828362528139
2000,20000,1,1000,21,2,"7700K",39.734460921,314061.745281,347762,1021541324115,1044428560185,72872987586,35160681,34.167566589,192.820017132,4.85271506552875
2000,20000,1,1000,24,2,"7700K",39.305369478,310605.061844,401895,1020919847159,1044761874625,72940201835,36550569,34.959673767,192.820017132,4.90569150456467
2000,20000,1,1000,28,2,"7700K",39.821550018,314514.522618,471978,1024560789636,1045207496582,73030019851,38438853,34.430326712,192.820017132,4.8421022548053
2000,20000,1,1000,32,2,"7700K",39.84721469,314568.387462,540444,1024461341280,1045649553298,73118874600,40256148,35.16527768,192.820017132,4.83898356841463
2000,20000,1,1000,4,2,"7700K",58.536338496,234040.411784,150,829577270912,1042205259992,72433388099,24214051,51.959363332,192.820017132,3.29402251808381
2000,20000,1,1000,40,2,"7700K",40.295731291,317609.127444,675584,1028324195292,1046524623205,73295027596,43810039,34.663909361,192.820017132,4.78512266571189
2000,20000,1,1000,6,2,"7700K",46.347295546,277905.624769,786,947783256113,1042309181730,72458632218,22967637,42.362891067,192.820017132,4.16032941858765
2000,20000,1,1000,64,2,"7700K",40.423373447,316813.526603,1074981,1040497713831,1049132895925,73819575496,56113628,35.100505005,192.820017132,4.77001300707401
2000,20000,1,1000,7,2,"7700K",41.956448034,293482.196397,172,986458817658,1042351999063,72469528653,22576902,37.118043415,192.820017132,4.59571832619734
2000,20000,1,1000,8,2,"7700K",39.364582675,314648.601533,448,1014753608813,1042430062983,72490318543,22094604,33.511003613,192.820017132,4.89831223981088
2000,20000,1,1000,9,2,"7700K",39.103861028,310475.897186,127432,1013380990438,1043088993303,72602537605,29008706,33.704767896,192.820017132,4.93097131748532
2000,20000,1,1000,2,2,"XeS4114",140.820627346,281567.898922,223,805298685166,1042181640134,72424010929,24381604,141.064834606,278.44652389,1.97731347415354
2000,20000,1,1000,1,2,"XeS4114",278.733979339,278725.363556,211,801441473164,1042179301331,72416823502,24228634,278.367902579,278.44652389,0.99896871041815
2000,20000,1,1000,10,2,"XeS4114",37.649662876,375782.150385,246,824628635484,1042530631400,72519617796,24574521,37.12181928,278.44652389,7.39572422752017
2000,20000,1,1000,12,2,"XeS4114",33.228440601,397998.917902,307,873403634403,1042630461469,72545970810,23877012,31.976795242,278.44652389,8.37976501014677
2000,20000,1,1000,16,2,"XeS4114",27.330143477,436194.172118,690,957343591154,1042908944805,72621566636,23205894,25.154869456,278.44652389,10.1882569377775
2000,20000,1,1000,19,2,"XeS4114",24.125073304,457316.319961,644,1003540276932,1042977771612,72638372277,22702281,21.745337283,278.44652389,11.5417897546381
2000,20000,1,1000,20,2,"XeS4114",23.259659738,463982.647388,690,1018348241946,1043179240829,72695810651,22576674,20.932321514,278.44652389,11.9712208616317
2000,20000,1,1000,21,2,"XeS4114",23.517194594,457067.571162,288217,1002137488286,1044142244455,72827588905,35887312,21.116180058,278.44652389,11.8401250105334
2000,20000,1,1000,24,2,"XeS4114",23.649534791,457605.371499,342091,1003276036074,1044503164823,72901940192,38587785,21.259515911,278.44652389,11.7738689725079
2000,20000,1,1000,28,2,"XeS4114",23.823140665,458467.091811,405299,1005068594784,1044899602527,72985310835,41650169,21.412151822,278.44652389,11.6880695037444
2000,20000,1,1000,32,2,"XeS4114",23.973647867,459449.973649,479808,1007062005787,1045359287413,73080880460,44623931,21.543190771,278.44652389,11.6146914910386
2000,20000,1,1000,4,2,"XeS4114",75.797623492,302951.271272,216,807545443459,1042248545599,72444460285,24059094,76.432358063,278.44652389,3.67355216512017
2000,20000,1,1000,40,2,"XeS4114",24.14970543,460892.496832,614460,1010018275089,1046206799250,73258210061,49517298,21.783111676,278.44652389,11.5300174031978
2000,20000,1,1000,6,2,"XeS4114",59.426830674,356199.315843,158,817057181523,1042363943681,72473792964,24411304,58.996182335,278.44652389,4.68553548509905
2000,20000,1,1000,64,2,"XeS4114",24.706262116,465859.119496,1027957,1020186721784,1048757258693,73792902811,65164416,22.344047346,278.44652389,11.2702812988321
2000,20000,1,1000,7,2,"XeS4114",50.966956623,356306.966545,145,817112578583,1042398880461,72483814410,24422038,50.594846531,278.44652389,5.46327546982361
2000,20000,1,1000,8,2,"XeS4114",45.133030443,360572.667071,163,824751520630,1042441126537,72495514880,24469809,44.336820682,278.44652389,6.16946216899083
2000,20000,1,1000,9,2,"XeS4114",41.274683316,370908.302102,182,813970974369,1042489574624,72508185262,24388247,41.043333001,278.44652389,6.74618195755026
